frep4,s1_sphere,299.856
frep4,s2_csg,270.305
frep4,s3_blend,108.179
frep4,s4_gyroid,144.525
frep4,s5_twist,315.138
frep4,c1_gear,89.348
frep4,c2_colonnade,60.539
libfive,s1_sphere,221.462
libfive,s2_csg,229.029
libfive,s3_blend,167.215
libfive,s4_gyroid,92.835
libfive,s5_twist,158.598
libfive,c1_gear,21.875
libfive,c2_colonnade,35.590
hyperfun,s1_sphere,4.849
hyperfun,s2_csg,2.432
hyperfun,s3_blend,1.670
hyperfun,s4_gyroid,1.426
hyperfun,s5_twist,2.129
hyperfun,c1_gear,0.112
hyperfun,c2_colonnade,0.104
