frep4-cpu_ir,s1_sphere,9.365
frep4-gpu_glsl,s1_sphere,7.433
frep4-gpu_ir,s1_sphere,4.611
frep4-gpu_rtx,s1_sphere,34.281
frep4-cpu_ir,s2_csg,6.584
frep4-gpu_glsl,s2_csg,5.894
frep4-gpu_ir,s2_csg,4.537
frep4-gpu_rtx,s2_csg,34.066
frep4-cpu_ir,s3_blend,9.118
frep4-gpu_glsl,s3_blend,5.940
frep4-gpu_ir,s3_blend,4.812
frep4-gpu_rtx,s3_blend,38.032
frep4-cpu_ir,s4_gyroid,14.121
frep4-gpu_glsl,s4_gyroid,5.346
frep4-gpu_ir,s4_gyroid,4.544
frep4-gpu_rtx,s4_gyroid,34.034
frep4-cpu_ir,s5_twist,9.918
frep4-gpu_glsl,s5_twist,4.408
frep4-gpu_ir,s5_twist,4.446
frep4-gpu_rtx,s5_twist,37.933
frep4-cpu_ir,c1_gear,29.090
frep4-gpu_glsl,c1_gear,6.112
frep4-gpu_ir,c1_gear,5.388
frep4-gpu_rtx,c1_gear,30.552
frep4-cpu_ir,c2_colonnade,47.357
frep4-gpu_glsl,c2_colonnade,6.123
frep4-gpu_ir,c2_colonnade,6.151
frep4-gpu_rtx,c2_colonnade,32.582
libfive,s1_sphere,5.470
libfive,s2_csg,6.989
libfive,s3_blend,6.318
libfive,s4_gyroid,9.449
libfive,s5_twist,6.181
libfive,c1_gear,42.140
libfive,c2_colonnade,27.261
mpr,s1_sphere,3.016
mpr,s2_csg,2.891
mpr,s3_blend,3.505
mpr,s4_gyroid,21.558
mpr,s5_twist,22.233
